0,Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (Â£600m) for the three months to December from $639m year-earlier.  The firm which is now one of the biggest investors in Google benefited from sales of high-speed internet connections and higher advert sales. TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn. Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros and less users for AOL.  Time Warner said on Friday that it now owns
0,The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.  And Alan Greenspan highlighted the US government's willingness to curb spending and rising household savings as factors which may help to reduce it. In late trading in New York the dollar reached $1.2871 against the euro from $1.2974 on Thursday. Market concerns about the deficit has hit the greenback in recent months. On Friday Federal Rese
0,The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (Â£479m) loan.  State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos. Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets. Rosneft already faces a similar $540m repayment demand from foreign banks. Legal experts said Rosneft's purchase of Yugansk 
0,British Airways has blamed high fuel prices for a 40% drop in profits.  Reporting its results for the three months to 31 December 2004 the airline made a pre-tax profit of Â£75m ($141m) compared with Â£125m a year earlier. Rod Eddington BA's chief executive said the results were ""respectable"" in a third quarter when fuel costs rose by Â£106m or 47.3%. BA's profits were still better than market expectation of Â£59m and it expects a rise in full-year revenues.  To help offset the increased pric
0,Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.  Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid but has yet to contact its target. Allied Domecq shares in London rose 4% by 1200 GMT while Pernod shares in Paris slipped 1.2%. Pernod said it was seeking acquisitions but refused to comment on specifics.  Pernod's last major purchase 
0,Japan's economy teetered on the brink of a technical recession in the three months to September figures show.  Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter. On an annual basis the data suggests annual growth of just 0.2% suggesting a much more hesitant recovery than had previously been thought. A common technical definition of a recession is two successive quarters of negative growth.  The government was keen to play down the worrying i
0,The US created fewer jobs than expected in January but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.  According to Labor Department figures US firms added only 146000 jobs in January. The gain in non-farm payrolls was below market expectations of 190000 new jobs. Nevertheless it was enough to push down the unemployment rate to 5.2% its lowest level since September 2001. The job gains mean that President Bush can celebrate - albeit by a very fine margin - 
0,India which attends the G7 meeting of seven leading industrialised nations on Friday is unlikely to be cowed by its newcomer status.  In London on Thursday ahead of the meeting India's finance minister lashed out at the restrictive trade policies of the G7 nations. He objected to subsidies on agriculture that make it hard for developing nations like India to compete. He also called for reform of the United Nations the World Bank and the IMF.  Palaniappan Chidambaram India's finance minister arg
0,Ethiopia produced 14.27 million tonnes of crops in 2004 24% higher than in 2003 and 21% more than the average of the past five years a report says.  In 2003 crop production totalled 11.49 million tonnes the joint report from the Food and Agriculture Organisation and the World Food Programme said. Good rains increased use of fertilizers and improved seeds contributed to the rise in production. Nevertheless 2.2 million Ethiopians will still need emergency assistance.  The report calculated emerge
0,A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.  The demand for $280bn (Â£155bn) - filed by the Clinton administration in 1999 - was rejected in a 2-1 decision. The court in Washington found that the case could not be brought under federal anti-racketeering laws. Among the accused were Altria Group RJ Reynolds Tobacco Lorillard Tobacco Liggett Group and Brown and Williamson. In its case the gove
0,Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.  The firm's revenue nearly tripled in the fourth quarter of 2004 exceeding $86m (Â£46m). Ask Jeeves once among the best-known names on the web is now a relatively modest player. Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week. During the same quarter Yahoo earned $187m again tipping a resurgence in online a
